safe,danger,fire,day,weekday,time,weekday_2
0,1,0,1,월,13:40:00,1
0,1,0,1,월,13:45:00,1
0,1,0,1,월,13:50:00,1
1,0,0,1,월,13:55:00,1
1,0,0,1,월,14:00:00,1
1,0,0,1,월,14:05:00,1
1,0,0,1,월,14:10:00,1
1,0,0,1,월,14:15:00,1
1,0,0,1,월,14:20:00,1
3,1,0,1,월,14:25:00,1
2,3,0,1,월,14:30:00,1
3,3,0,1,월,14:35:00,1
3,2,0,1,월,14:40:00,1
3,2,0,1,월,14:45:00,1
1,2,0,1,월,14:50:00,1
3,3,0,1,월,14:55:00,1
2,2,0,1,월,15:00:00,1
3,1,0,1,월,15:05:00,1
1,3,0,1,월,15:10:00,1
1,4,0,1,월,15:15:00,1
0,3,0,1,월,15:20:00,1
0,4,0,1,월,15:25:00,1
1,4,0,1,월,15:30:00,1
2,4,0,1,월,15:35:00,1
1,3,0,1,월,15:40:00,1
0,4,0,1,월,15:45:00,1
1,3,0,1,월,15:50:00,1
2,3,0,1,월,15:55:00,1
1,3,0,1,월,16:00:00,1
1,3,0,1,월,16:05:00,1
1,3,0,1,월,16:10:00,1
1,3,0,1,월,16:15:00,1
1,3,0,1,월,16:20:00,1
3,3,0,1,월,16:25:00,1
2,1,0,1,월,16:30:00,1
2,2,0,1,월,16:35:00,1
2,2,0,1,월,16:40:00,1
2,3,0,1,월,16:45:00,1
1,2,0,1,월,16:50:00,1
1,2,0,1,월,16:55:00,1
1,2,0,1,월,17:00:00,1
2,1,0,1,월,17:05:00,1
2,1,0,1,월,17:10:00,1
1,1,0,1,월,17:15:00,1
0,2,0,1,월,17:20:00,1
0,2,0,1,월,17:25:00,1
0,1,0,1,월,17:30:00,1
0,1,0,1,월,17:35:00,1
0,1,0,1,월,17:40:00,1
0,1,0,1,월,17:45:00,1
0,1,0,1,월,17:50:00,1
0,1,0,1,월,17:55:00,1
0,1,0,1,월,18:00:00,1
0,1,0,1,월,18:05:00,1
0,2,0,1,월,18:10:00,1
1,1,1,1,월,18:15:00,1
1,2,1,1,월,18:20:00,1
3,1,0,1,월,18:25:00,1
2,1,0,1,월,18:30:00,1
1,2,0,1,월,18:35:00,1
1,1,0,1,월,18:40:00,1
2,1,0,1,월,18:45:00,1
2,1,0,1,월,18:50:00,1
3,1,0,1,월,18:55:00,1
3,1,0,1,월,19:00:00,1
4,2,0,1,월,19:05:00,1
3,0,0,1,월,19:10:00,1
3,0,0,1,월,19:15:00,1
2,2,0,1,월,19:20:00,1
2,0,0,1,월,19:25:00,1
2,0,0,1,월,19:30:00,1
3,0,0,1,월,19:35:00,1
3,0,0,1,월,19:40:00,1
3,0,0,1,월,19:45:00,1
2,1,0,1,월,19:50:00,1
2,2,0,1,월,19:55:00,1
2,2,0,1,월,20:00:00,1
2,2,0,1,월,20:05:00,1
3,1,0,1,월,20:10:00,1
1,2,0,1,월,20:15:00,1
3,2,0,1,월,20:20:00,1
2,3,0,1,월,20:25:00,1
1,3,0,1,월,20:30:00,1
1,3,0,1,월,20:35:00,1
1,4,0,1,월,20:40:00,1
1,3,0,1,월,20:45:00,1
0,3,0,1,월,20:50:00,1
0,2,0,1,월,20:55:00,1
0,1,0,1,월,21:00:00,1
1,1,0,1,월,21:05:00,1
1,2,0,1,월,21:10:00,1
2,0,0,1,월,21:15:00,1
1,1,0,1,월,21:20:00,1
1,1,0,1,월,21:25:00,1
1,0,0,1,월,21:30:00,1
1,0,0,1,월,21:35:00,1
1,0,0,1,월,21:40:00,1
0,1,0,1,월,21:45:00,1
0,1,0,1,월,21:50:00,1
0,1,0,1,월,21:55:00,1
0,1,0,1,월,22:00:00,1
0,1,0,1,월,22:05:00,1
2,2,0,1,월,22:10:00,1
1,1,0,1,월,22:15:00,1
2,1,0,1,월,22:20:00,1
2,3,0,1,월,22:25:00,1
1,3,0,1,월,22:30:00,1
1,1,0,1,월,22:35:00,1
1,2,0,1,월,22:40:00,1
2,2,0,1,월,22:45:00,1
2,1,0,1,월,22:50:00,1
1,2,0,1,월,22:55:00,1
1,1,0,1,월,23:00:00,1
1,1,0,1,월,23:05:00,1
1,1,0,1,월,23:10:00,1
1,2,0,1,월,23:15:00,1
2,2,0,1,월,23:20:00,1
0,2,0,1,월,23:25:00,1
0,2,0,1,월,23:30:00,1
2,2,0,1,월,23:35:00,1
2,0,0,1,월,23:40:00,1
1,0,0,1,월,23:45:00,1
3,1,0,1,월,23:50:00,1
3,1,0,1,월,23:55:00,1
2,1,0,2,화,00:00:00,2
2,0,0,2,화,00:05:00,2
2,0,0,2,화,00:10:00,2
2,1,0,2,화,00:15:00,2
1,1,0,2,화,00:20:00,2
2,1,0,2,화,00:25:00,2
2,1,0,2,화,00:30:00,2
3,1,0,2,화,00:35:00,2
2,1,0,2,화,00:40:00,2
2,1,0,2,화,00:45:00,2
2,1,0,2,화,00:50:00,2
3,1,0,2,화,00:55:00,2
1,1,0,2,화,01:00:00,2
2,0,0,2,화,01:05:00,2
2,0,0,2,화,01:10:00,2
2,0,0,2,화,01:15:00,2
1,0,0,2,화,01:20:00,2
2,0,0,2,화,01:25:00,2
2,0,0,2,화,01:30:00,2
2,0,0,2,화,01:35:00,2
2,0,0,2,화,01:40:00,2
2,0,0,2,화,01:45:00,2
2,0,0,2,화,01:50:00,2
2,0,0,2,화,01:55:00,2
2,1,0,2,화,02:00:00,2
2,0,0,2,화,02:05:00,2
3,0,0,2,화,02:10:00,2
3,0,0,2,화,02:15:00,2
2,0,0,2,화,02:20:00,2
1,1,0,2,화,02:25:00,2
2,1,0,2,화,02:30:00,2
1,1,0,2,화,02:35:00,2
0,0,0,2,화,02:40:00,2
1,0,0,2,화,02:45:00,2
1,1,0,2,화,02:50:00,2
1,1,0,2,화,02:55:00,2
3,1,0,2,화,03:00:00,2
2,0,0,2,화,03:05:00,2
1,1,0,2,화,03:10:00,2
2,0,0,2,화,03:15:00,2
1,1,0,2,화,03:20:00,2
1,1,0,2,화,03:25:00,2
1,1,0,2,화,03:30:00,2
2,0,0,2,화,03:35:00,2
1,1,0,2,화,03:40:00,2
1,1,0,2,화,03:45:00,2
1,1,0,2,화,03:50:00,2
2,3,0,2,화,03:55:00,2
2,1,0,2,화,04:00:00,2
3,1,0,2,화,04:05:00,2
2,2,0,2,화,04:10:00,2
3,0,0,2,화,04:15:00,2
4,1,0,2,화,04:20:00,2
3,1,0,2,화,04:25:00,2
2,1,0,2,화,04:30:00,2
2,1,0,2,화,04:35:00,2
1,2,0,2,화,04:40:00,2
1,2,0,2,화,04:45:00,2
1,1,0,2,화,04:50:00,2
3,1,0,2,화,04:55:00,2
2,1,0,2,화,05:00:00,2
0,2,0,2,화,05:05:00,2
2,3,0,2,화,05:10:00,2
1,2,0,2,화,05:15:00,2
2,0,0,2,화,05:20:00,2
1,1,0,2,화,05:25:00,2
1,1,0,2,화,05:30:00,2
1,1,0,2,화,05:35:00,2
1,1,0,2,화,05:40:00,2
1,1,0,2,화,05:45:00,2
1,1,0,2,화,05:50:00,2
1,1,0,2,화,05:55:00,2
2,0,0,2,화,06:00:00,2
1,1,0,2,화,06:05:00,2
1,1,0,2,화,06:10:00,2
4,1,0,2,화,06:15:00,2
5,0,0,2,화,06:20:00,2
3,1,0,2,화,06:25:00,2
4,0,0,2,화,06:30:00,2
4,0,0,2,화,06:35:00,2
3,0,0,2,화,06:40:00,2
3,0,0,2,화,06:45:00,2
4,0,0,2,화,06:50:00,2
4,0,0,2,화,06:55:00,2
3,0,0,2,화,07:00:00,2
5,0,0,2,화,07:05:00,2
4,0,0,2,화,07:10:00,2
5,1,0,2,화,07:15:00,2
3,1,0,2,화,07:20:00,2
3,1,0,2,화,07:25:00,2
2,1,0,2,화,07:30:00,2
1,1,0,2,화,07:35:00,2
3,0,0,2,화,07:40:00,2
3,1,0,2,화,07:45:00,2
2,1,0,2,화,07:50:00,2
2,1,0,2,화,07:55:00,2
2,1,0,2,화,08:00:00,2
0,1,0,2,화,08:05:00,2
0,1,0,2,화,08:10:00,2
1,1,0,2,화,08:15:00,2
1,1,0,2,화,08:20:00,2
1,1,0,2,화,08:25:00,2
0,1,0,2,화,08:30:00,2
1,0,0,2,화,08:35:00,2
1,2,0,2,화,08:40:00,2
1,1,0,2,화,08:45:00,2
2,1,0,2,화,08:50:00,2
0,3,0,2,화,08:55:00,2
3,1,0,2,화,09:00:00,2
1,2,0,2,화,09:05:00,2
0,4,0,2,화,09:10:00,2
1,3,0,2,화,09:15:00,2
1,3,0,2,화,09:20:00,2
3,0,0,2,화,09:25:00,2
3,1,0,2,화,09:30:00,2
2,0,0,2,화,09:35:00,2
3,0,0,2,화,09:40:00,2
2,1,0,2,화,09:45:00,2
2,0,0,2,화,09:50:00,2
1,1,0,2,화,09:55:00,2
3,0,0,2,화,10:00:00,2
4,0,0,2,화,10:05:00,2
4,1,0,2,화,10:10:00,2
4,1,0,2,화,10:15:00,2
4,0,0,2,화,10:20:00,2
3,0,0,2,화,10:25:00,2
3,1,0,2,화,10:30:00,2
1,0,0,2,화,10:35:00,2
2,1,0,2,화,10:40:00,2
3,1,0,2,화,10:45:00,2
1,2,0,2,화,10:50:00,2
1,2,0,2,화,10:55:00,2
4,1,0,2,화,11:00:00,2
3,1,0,2,화,11:05:00,2
4,1,0,2,화,11:10:00,2
4,1,0,2,화,11:15:00,2
3,2,0,2,화,11:20:00,2
1,3,0,2,화,11:25:00,2
2,3,0,2,화,11:30:00,2
3,2,0,2,화,11:35:00,2
2,3,0,2,화,11:40:00,2
1,0,0,2,화,11:45:00,2
0,0,0,2,화,11:50:00,2
1,2,0,2,화,11:55:00,2
4,0,0,2,화,12:00:00,2
1,1,0,2,화,12:05:00,2
2,0,0,2,화,12:10:00,2
2,0,0,2,화,12:15:00,2
2,1,0,2,화,12:20:00,2
0,1,0,2,화,12:25:00,2
0,2,0,2,화,12:30:00,2
1,2,0,2,화,12:35:00,2
1,3,0,2,화,12:40:00,2
0,4,0,2,화,12:45:00,2
2,1,0,2,화,12:50:00,2
4,2,0,2,화,12:55:00,2
3,1,0,2,화,13:00:00,2
3,1,0,2,화,13:05:00,2
4,0,0,2,화,13:10:00,2
2,1,0,2,화,13:15:00,2
3,1,0,2,화,13:20:00,2
3,0,0,2,화,13:25:00,2
3,0,0,2,화,13:30:00,2
3,0,0,2,화,13:35:00,2
3,0,0,2,화,13:40:00,2
3,0,0,2,화,13:45:00,2
3,1,0,2,화,13:50:00,2
3,0,0,2,화,13:55:00,2
2,2,0,2,화,14:00:00,2
2,1,0,2,화,14:05:00,2
1,1,0,2,화,14:10:00,2
1,2,0,2,화,14:15:00,2
2,1,0,2,화,14:20:00,2
4,1,0,2,화,14:25:00,2
2,2,0,2,화,14:30:00,2
2,1,0,2,화,14:35:00,2
2,1,0,2,화,14:40:00,2
2,1,0,2,화,14:45:00,2
2,1,0,2,화,14:50:00,2
2,0,0,2,화,14:55:00,2
2,0,0,2,화,15:00:00,2
2,0,0,2,화,15:05:00,2
2,0,0,2,화,15:10:00,2
2,0,0,2,화,15:15:00,2
2,0,0,2,화,15:20:00,2
3,1,0,2,화,15:25:00,2
3,1,0,2,화,15:30:00,2
3,0,0,2,화,15:35:00,2
3,0,0,2,화,15:40:00,2
2,0,0,2,화,15:45:00,2
2,0,0,2,화,15:50:00,2
2,0,0,2,화,15:55:00,2
3,0,0,2,화,16:00:00,2
3,1,0,2,화,16:05:00,2
4,1,0,2,화,16:10:00,2
4,1,0,2,화,16:15:00,2
4,0,0,2,화,16:20:00,2
4,0,0,2,화,16:25:00,2
4,0,0,2,화,16:30:00,2
2,0,0,2,화,16:35:00,2
2,0,0,2,화,16:40:00,2
2,0,0,2,화,16:45:00,2
3,1,0,2,화,16:50:00,2
3,1,0,2,화,16:55:00,2
3,0,0,2,화,17:00:00,2
3,0,0,2,화,17:05:00,2
2,0,0,2,화,17:10:00,2
2,0,0,2,화,17:15:00,2
2,0,0,2,화,17:20:00,2
2,0,0,2,화,17:25:00,2
1,0,0,2,화,17:30:00,2
1,1,0,2,화,17:35:00,2
2,0,0,2,화,17:40:00,2
2,0,0,2,화,17:45:00,2
2,0,0,2,화,17:50:00,2
1,0,0,2,화,17:55:00,2
1,0,0,2,화,18:00:00,2
1,0,0,2,화,18:05:00,2
1,0,0,2,화,18:10:00,2
2,2,0,2,화,18:15:00,2
2,1,0,2,화,18:20:00,2
2,1,0,2,화,18:25:00,2
3,0,0,2,화,18:30:00,2
3,0,0,2,화,18:35:00,2
3,0,0,2,화,18:40:00,2
3,0,0,2,화,18:45:00,2
3,0,0,2,화,18:50:00,2
3,0,0,2,화,18:55:00,2
3,1,0,2,화,19:00:00,2
3,0,0,2,화,19:05:00,2
2,0,0,2,화,19:10:00,2
3,0,0,2,화,19:15:00,2
3,0,0,2,화,19:20:00,2
3,0,0,2,화,19:25:00,2
3,0,0,2,화,19:30:00,2
3,1,0,2,화,19:35:00,2
3,0,0,2,화,19:40:00,2
4,1,0,2,화,19:45:00,2
2,0,0,2,화,19:50:00,2
2,0,0,2,화,19:55:00,2
2,0,0,2,화,20:00:00,2
2,0,0,2,화,20:05:00,2
2,0,0,2,화,20:10:00,2
1,0,0,2,화,20:15:00,2
2,0,0,2,화,20:20:00,2
2,0,0,2,화,20:25:00,2
2,1,0,2,화,20:30:00,2
2,0,0,2,화,20:35:00,2
2,0,0,2,화,20:40:00,2
3,0,0,2,화,20:45:00,2
2,0,0,2,화,20:50:00,2
2,0,0,2,화,20:55:00,2
2,0,0,2,화,21:00:00,2
2,0,0,2,화,21:05:00,2
2,0,0,2,화,21:10:00,2
2,0,0,2,화,21:15:00,2
2,1,0,2,화,21:20:00,2
2,0,0,2,화,21:25:00,2
2,0,0,2,화,21:30:00,2
1,0,0,2,화,21:35:00,2
1,0,0,2,화,21:40:00,2
1,0,0,2,화,21:45:00,2
1,0,0,2,화,21:50:00,2
1,0,0,2,화,21:55:00,2
2,0,0,2,화,22:00:00,2
1,0,0,2,화,22:05:00,2
1,0,0,2,화,22:10:00,2
1,0,0,2,화,22:15:00,2
1,0,0,2,화,22:20:00,2
2,1,0,2,화,22:25:00,2
2,0,0,2,화,22:30:00,2
2,0,0,2,화,22:35:00,2
2,0,0,2,화,22:40:00,2
2,0,0,2,화,22:45:00,2
2,1,0,2,화,22:50:00,2
2,0,0,2,화,22:55:00,2
2,0,0,2,화,23:00:00,2
2,0,0,2,화,23:05:00,2
2,0,0,2,화,23:10:00,2
2,0,0,2,화,23:15:00,2
2,0,0,2,화,23:20:00,2
2,0,0,2,화,23:25:00,2
2,0,0,2,화,23:30:00,2
2,1,0,2,화,23:35:00,2
2,0,0,2,화,23:40:00,2
2,0,0,2,화,23:45:00,2
2,0,0,2,화,23:50:00,2
2,1,0,2,화,23:55:00,2
2,0,0,3,수,00:00:00,3
2,0,0,3,수,00:05:00,3
2,0,0,3,수,00:10:00,3
1,1,0,3,수,00:15:00,3
1,0,0,3,수,00:20:00,3
1,0,0,3,수,00:25:00,3
1,0,0,3,수,00:30:00,3
1,0,0,3,수,00:35:00,3
1,0,0,3,수,00:40:00,3
2,0,0,3,수,00:45:00,3
2,0,0,3,수,00:50:00,3
2,0,0,3,수,00:55:00,3
2,0,0,3,수,01:00:00,3
2,0,0,3,수,01:05:00,3
1,0,0,3,수,01:10:00,3
1,0,0,3,수,01:15:00,3
1,0,0,3,수,01:20:00,3
1,0,0,3,수,01:25:00,3
2,0,0,3,수,01:30:00,3
1,0,0,3,수,01:35:00,3
1,0,0,3,수,01:40:00,3
1,1,0,3,수,01:45:00,3
2,0,0,3,수,01:50:00,3
2,0,0,3,수,01:55:00,3
2,0,0,3,수,02:00:00,3
2,0,0,3,수,02:05:00,3
2,0,0,3,수,02:10:00,3
2,0,0,3,수,02:15:00,3
2,0,0,3,수,02:20:00,3
2,0,0,3,수,02:25:00,3
2,0,0,3,수,02:30:00,3
2,0,0,3,수,02:35:00,3
3,0,0,3,수,02:40:00,3
3,0,0,3,수,02:45:00,3
2,0,0,3,수,02:50:00,3
3,0,0,3,수,02:55:00,3
3,0,0,3,수,03:00:00,3
3,0,0,3,수,03:05:00,3
3,0,0,3,수,03:10:00,3
1,1,0,3,수,03:15:00,3
3,0,0,3,수,03:20:00,3
2,0,0,3,수,03:25:00,3
2,0,0,3,수,03:30:00,3
2,0,0,3,수,03:35:00,3
2,0,0,3,수,03:40:00,3
2,0,0,3,수,03:45:00,3
2,0,0,3,수,03:50:00,3
2,0,0,3,수,03:55:00,3
2,1,0,3,수,04:00:00,3
1,0,0,3,수,04:05:00,3
1,1,0,3,수,04:10:00,3
3,0,0,3,수,04:15:00,3
3,0,0,3,수,04:20:00,3
3,0,0,3,수,04:25:00,3
2,0,0,3,수,04:30:00,3
2,0,0,3,수,04:35:00,3
3,0,0,3,수,04:40:00,3
3,0,0,3,수,04:45:00,3
3,0,0,3,수,04:50:00,3
3,0,0,3,수,04:55:00,3
3,1,0,3,수,05:00:00,3
2,0,0,3,수,05:05:00,3
2,0,0,3,수,05:10:00,3
2,0,0,3,수,05:15:00,3
2,0,0,3,수,05:20:00,3
2,0,0,3,수,05:25:00,3
2,0,0,3,수,05:30:00,3
2,1,0,3,수,05:35:00,3
1,0,0,3,수,05:40:00,3
1,1,0,3,수,05:45:00,3
3,0,0,3,수,05:50:00,3
1,1,0,3,수,05:55:00,3
2,1,0,3,수,06:00:00,3
1,1,0,3,수,06:05:00,3
1,1,0,3,수,06:10:00,3
1,0,0,3,수,06:15:00,3
1,0,0,3,수,06:20:00,3
1,0,0,3,수,06:25:00,3
1,0,0,3,수,06:30:00,3
1,0,0,3,수,06:35:00,3
2,0,0,3,수,06:40:00,3
2,0,0,3,수,06:45:00,3
2,0,0,3,수,06:50:00,3
2,0,0,3,수,06:55:00,3
2,0,0,3,수,07:00:00,3
2,0,0,3,수,07:05:00,3
2,0,0,3,수,07:10:00,3
2,0,0,3,수,07:15:00,3
2,0,0,3,수,07:20:00,3
2,0,0,3,수,07:25:00,3
2,0,0,3,수,07:30:00,3
2,0,0,3,수,07:35:00,3
2,0,0,3,수,07:40:00,3
3,0,0,3,수,07:45:00,3
3,0,0,3,수,07:50:00,3
3,0,0,3,수,07:55:00,3
2,1,0,3,수,08:00:00,3
2,1,0,3,수,08:05:00,3
2,0,0,3,수,08:10:00,3
2,0,0,3,수,08:15:00,3
2,0,0,3,수,08:20:00,3
1,0,0,3,수,08:25:00,3
1,0,0,3,수,08:30:00,3
1,0,0,3,수,08:35:00,3
1,1,0,3,수,08:40:00,3
2,0,0,3,수,08:45:00,3
2,0,0,3,수,08:50:00,3
2,1,0,3,수,08:55:00,3
2,0,0,3,수,09:00:00,3
3,0,0,3,수,09:05:00,3
3,0,0,3,수,09:10:00,3
3,0,0,3,수,09:15:00,3
3,1,0,3,수,09:20:00,3
3,1,0,3,수,09:25:00,3
3,1,0,3,수,09:30:00,3
3,0,0,3,수,09:35:00,3
3,0,0,3,수,09:40:00,3
3,0,0,3,수,09:45:00,3
3,0,0,3,수,09:50:00,3
3,0,0,3,수,09:55:00,3
3,0,0,3,수,10:00:00,3
3,0,0,3,수,10:05:00,3
3,1,0,3,수,10:10:00,3
3,0,0,3,수,10:15:00,3
3,0,0,3,수,10:20:00,3
2,0,0,3,수,10:25:00,3
2,0,0,3,수,10:30:00,3
2,0,0,3,수,10:35:00,3
2,0,0,3,수,10:40:00,3
2,0,0,3,수,10:45:00,3
2,1,0,3,수,10:50:00,3
1,0,0,3,수,10:55:00,3
1,0,0,3,수,11:00:00,3
1,0,0,3,수,11:05:00,3
1,0,0,3,수,11:10:00,3
1,0,0,3,수,11:15:00,3
1,0,0,3,수,11:20:00,3
1,0,0,3,수,11:25:00,3
1,0,0,3,수,11:30:00,3
1,0,0,3,수,11:35:00,3
1,0,0,3,수,11:40:00,3
1,0,0,3,수,11:45:00,3
2,0,0,3,수,11:50:00,3
2,0,0,3,수,11:55:00,3
2,0,0,3,수,12:00:00,3
2,0,0,3,수,12:05:00,3
2,0,0,3,수,12:10:00,3
2,0,0,3,수,12:15:00,3
2,0,0,3,수,12:20:00,3
3,0,0,3,수,12:25:00,3
3,0,0,3,수,12:30:00,3
2,0,0,3,수,12:35:00,3
2,1,0,3,수,12:40:00,3
3,1,0,3,수,12:45:00,3
3,0,0,3,수,12:50:00,3
3,0,0,3,수,12:55:00,3
3,0,0,3,수,13:00:00,3
3,0,0,3,수,13:05:00,3
3,0,0,3,수,13:10:00,3
3,0,0,3,수,13:15:00,3
2,0,0,3,수,13:20:00,3
2,0,0,3,수,13:25:00,3
2,0,0,3,수,13:30:00,3
2,0,0,3,수,13:35:00,3
1,0,0,3,수,13:40:00,3
1,0,0,3,수,13:45:00,3
1,0,0,3,수,13:50:00,3
1,0,0,3,수,13:55:00,3
1,0,0,3,수,14:00:00,3
1,0,0,3,수,14:05:00,3
1,0,0,3,수,14:10:00,3
2,0,0,3,수,14:15:00,3
1,0,0,3,수,14:20:00,3
2,0,0,3,수,14:25:00,3
1,0,0,3,수,14:30:00,3
2,0,0,3,수,14:35:00,3
2,0,0,3,수,14:40:00,3
2,0,0,3,수,14:45:00,3
2,0,0,3,수,14:50:00,3
2,0,0,3,수,14:55:00,3
2,0,0,3,수,15:00:00,3
1,0,0,3,수,15:05:00,3
2,0,0,3,수,15:10:00,3
3,0,0,3,수,15:15:00,3
3,0,0,3,수,15:20:00,3
3,1,0,3,수,15:25:00,3
3,0,0,3,수,15:30:00,3
3,0,0,3,수,15:35:00,3
3,0,0,3,수,15:40:00,3
3,0,0,3,수,15:45:00,3
3,0,0,3,수,15:50:00,3
2,0,0,3,수,15:55:00,3
2,0,0,3,수,16:00:00,3
2,0,0,3,수,16:05:00,3
2,1,0,3,수,16:10:00,3
2,0,0,3,수,16:15:00,3
2,0,0,3,수,16:20:00,3
2,0,0,3,수,16:25:00,3
2,0,0,3,수,16:30:00,3
